S/No,Gloss,Jenjo,Munga Dosso,Tha,Kyãk,Moo,Lelau,Mak,Maghdi,Loo,Burak
157,mouth,ŋwɑ́,ŋwɑ̀,kə́ɲwɑ́,ŋwɑ́,ŋwɑ́,ŋwɑ̀,nwā̤,ɲwɑ̀,ɲwɑ́,ɲwɑ̤̄̀
158,mud,bɨ̀bɔ̀,d͡ʒúd͡ʒwə̀,ɟúɟə̀,swə̂b,swɑ́b,dìɓɔ̀k,swɑ́b,dɔ̀ɾɔ̀b,dòb,dìdób
159,nail (v),pí,pī,bə̀,pì,pí,pî,ɓɔ́k,pē,bɛ̀k,bɛ̀ɾɛ́
160,name,d͡zúŋ,ɗíjíŋ,dũ̀,ɗwín,ɗwín,ɗun,ɗín,lɨ̄n,lɨ́n,lɨ̂n
161,narrow,tə̃̀,tə̀,pjɛ̃̄,tə̀p,tə́b,tɑ̀p,mínə́ŋ̂ː,ɓɔ̀nɔ̄ŋ,mɛ̀ʃí,ɓɛ̀ɾɛ́ŋ
162,near,cə̃̀,bə̀pí,ɓə̀dɛ̀,cə̀n,cénsə̌ŋ,ɓə̀d͡ʒì,ɓə̀dí,gə́gə̄b,pē,pē
163,neck,t͡ʃwī̤,d͡ʒwìm,ɟwí,dūl,dúl,dwùl,dūl,dùl,dūl,dòl
164,new,ɑ̀ hú,ɑ̀ fû,ɑ̀ fù,ɑ̀ fú,ɑ̀ fú,ɑ́ fú,lə̀ fūː,ɑ́ fù,kə́ fǔ,kə́ fṳ̄
165,night,ǹ̩vì,ɗɨ̀ŋvi ̀,nɨ́ŋ vē,vì,(nɨ̀ŋ) vì,(núŋ) vi ̀,vōrə̀,vōlè,vɛ̀ɾɛ̀,vɛ̀rɛ̀
166,nine,ɥ̥ĩ̀ɲə̂,ɥ̥ə̀ŋɥ̥ə̀,ɟēnəì,swə̀ŋ swə̀p,sùsúlɑ̀,sɔ̀ŋ sɔ̄p,lɑ́sɔ̀ŋ,lɑ̀ʃòŋ,nìnìt,nínít
167,nose,d͡ʒwí,(ɓwɑ̀)ɗwì,ɓwɑ̀dũ̀,ɗúɾ,ɗúɾ,ɗúɾ,ɗūrə́,lwílí,lúɾī,lúɾī
168,oil,ɲwì,nwì,ɲwì,ɲwì,ɲwì,nwì,ɲwí,ɲwié,nwì,nwì
169,old (not new),ɑ̀ cwí,ɑ̀ cwì,cwɛ̀,ɑ̀ kū,kûŋ,ɑ́ kú,kʊ̄ɾɨ́,kólí,kɔ̀rɛ̀,kóɾɛ̄
170,old (not young),cwí,cwíŋ,cwɛ̄,kū,kûɾ (jú),kùlì,kʊ̄ɾɨ́,kólí (lê),kɔ̀rɛ̀,kōɾē
171,on,kú,kù,kô,lō,lō,lò,ləú,lǒ,lwē,lwē
172,one,t͡sɨ̄ŋ,t͡sɨ̀ŋ,cùŋgɑ̀,kwɨ́n,kwín,kún,cwîn,swím,kwín,kwîn
173,open,bē,ɓəì,bò,ɓō,ɓō,ɓəù,bɑ̀,ɑ́bɑ̀,bɑ̀,ɓɑ́
174,open (eye/mouth),ɑ̀,ɓəì,bò,ɑ̌,âː,ɓəù,bɑ̀,ɑ́bɑ̀,bɑ̀,ɓɑ́
175,owl,ɲǐɲì,nînì,ǹ̩hĩ́hĩ́,ɲíɲí,ɲǐɲî,ɲíɲī,ɲíɲī,ɓíʃī,bíʃì,bíʃī
176,person/people,ìfɨ̄,jívɨ̀,nùwɑ̀,jú,jú,jú,jùgūl,júgùl,lúl,lu᷇l
177,play,nɨ́ŋt͡sɑ̀,nɨ́ŋt͡sɑ̀,ɓə̀ŋ,nɨ́ŋt͡ʃɑ́,gə̀bnɨ́ŋ,ɲìmnúŋ,ɲīmnūŋ,ɓɑ́ŋ,fɨ́lə́ɓə́ŋ,kēlē
178,porcupine,fjó,fjəù,wə́kə́kì,t͡ʃɨ́lə́ŋ,t͡ʃílɑ́ŋ,lɑ̀nðə̀,taî,təí,təí,tɛ᷇
179,pull,fɨ̄,vɨ̀,gù,gɨ̀b,gùb,gùb,gūb,gúb,gūb,gṳ̄b
180,pull up,d͡zwū,ɗù,lù,lɨ̀b,lùb,lùb,lūb,lúb,lùb,lūb
181,push,tó,t͡sò,ló,tɔ̀k,tɔ́k,tɔ̀k,tɔ́k,tɔ́k,tɔ́k,tɔ́k
182,python,mì,mì,mwí,mwî,mwì,ɓɨ̀ŋɑ̀,mí,mî,mílɨ̀m,mi᷅
183,rabbit,t͡sɨ̀lɛ̂,t͡ʃíɗìjɛ̀,ń̩cíləì,sɨ́ɓɛ̂,sɨ́ɓê,tɨ̀ɟɑ̀,tíd͡ʒɑ̀,tíd͡ʒā,wɔ̄m,bɨ̀ɾtəú
184,rain,mɨ́ŋ,mɨ̀ŋ,mɨ́ŋɲìló,mū,múŋ,mùŋ,mɨì,məī,mɛ̤̄,mɛ̄ (gɑ̀k)
185,raven,kɨ̀ŋkâ,kɨ́ŋkɑ̃̀,ŋɑ́ŋɑ́,zɨ̀ɾɑ́k,zɨ̀ɾɑ̀k,ǹ̩ðìɾɑ́k,nâzɨ̀ɾɑ̀k,gāmɔ̀,gə̀mgə́m,gɑ̃̀k
186,red,j̥ɛ̃̄,j̥ɛ̃̄,ɑ́ʒɛ̃̄,zɛ̄n,zēn,á ðə́nì,ɲín,ɲɛ᷇nɛ̀,ɲɛ̄nɛ̄,ɲɪ̄n
187,red soldier ants,sã̀,sɑ̃̀,θɑ̃̀,sɑ̃̀,zɨ́ŋzēn,θíŋɑ̀,zwə̀,ʃíbō,t͡ʃíwā,tʊ̀ŋɛ̀
188,refuse,lɑ́,lɑ̀,jə́,lɑ́,lɑ́,lɑ̀,jɨ̀bə̀,ɲóbā,lɑ́,lɑ̀
189,ring,fī,nɨ̀ŋfî,nɨ̀ŋkə̀nɑ̀,swə́m,(nɨ́ŋ) kū,kùnɑ́,(nūŋ)kû,kú,nùŋnɑ́d͡ʒùnɑ̀,ɓwí(nɑ̂)
190,river,ŋwə́,ŋwə̀m,ŋù,d͡ʒwə́l,ŋwə̀m,dwɑ̀l,wúmɑ̀,wúmɑ́,tùlɔ̀,wɔ́mɑ́
191,road,nɨ̀j̥ã̀,nɨ́ŋgɑ̃̀,nɑ̀gɨ̀ŋ,lɛ̄,nɨ́ŋ lɛ̂,núŋ leì,ɗɨ́ɾɑ̀,lólɑ̀,lɑ́t,lɑ́t
192,root,ɥé,ɥèm,jì,pí,jɨ̂ŋ (kə̀p),ɗík,jə́ŋ,jə́ŋ,ɗík,d͡ʒùmì
193,rope,bè,ɓəì,ɓəì,ɓɨ́l,bə́l,ɓə̀l,ɓə̀l,ɓə̄l,ɓə̄l,ɓél
194,rotten,ɥ̥īː,ɥ̥ì̤,vɨɛ̀,zú,(ɑ̀) zǔː,zû,zùɾɑ̀,d͡ʒūlɑ̀ (lɑ̀ nūŋ),d͡ʒùɾə̀,ʊ̀mɑ̀lɛ́
195,round,kwā,kwɑ̀m,kwé,d͡ʒɨ̄n,(ɑ̀) d͡ʒīn,jɨ̀lɨ̀ŋ,círgɨ̀,gíljə̀ŋ,gā,gɑ̀ (lɛ̄)
196,rub,nū,fì,fɑ́,fɑ́,ɲū,fɑ́,zūŋ,ʃâ,ʃə́kə́,ʃə́kɑ́
197,salt,t͡ʃìkwɛ̃̀,zɨ̀kwə̃ì,dwè,dē,dē,dəì,dəì,dəì,dē̤,dɛ̄
198,sand,ɥ̥ɑ̌ɥ̥ī,ɥ̥ɑ̂nɥ̥ì̤,fɑ́vī,swɑ̌zwī,swɑ̀zí,swɑ̀zwí,swɑ̀zwē,ʃwɑ́ʒwəì,bə̀ŋʒwē,ʃwɑ̀d͡ʒwē̤
199,say,t͡sɑ̀,(kɨ̀ŋ) kɑ̂,kìjè,d͡ʒē,(ɑ̀) d͡ʒē,gəì,gəì,d͡ʒē̤,gē,gē̤
200,scratch (destructive),kwã̀,fə̀ŋ,hũ̀,kwã̀,fɛ̃̄,kwəìlə́,pəí,g͡bɑ́ɣɑ̀,k͡pɑ́kə́,ílɑ́
201,scratch (not destructive),fə̀ŋ,fə̀ŋ,ɓə̀,fɛ̃̄,kɔ̄,kwəìlə̀,pəí,pəī,pɨ́ɾɛ̄,k͡pɑ́kɑ́
202,see,bə̀,ɓə̀,ɓì,ɓî,ɓí,bjɑ̀,lə̀ŋ,nə̄ŋ,nə́ŋ,nə᷇ŋ
203,seed,pjə̀nɨ̄ŋ,bjə̀nɨ̀ŋ,ɟɑ̀,bɛ̄nūŋ,bjə̀nɨ̄ŋ,bénùŋ,lók,lɔ́k (nūŋ),lɔ́knùŋ,lɔ̀knūŋ
204,seven,ɥ̥ìjûŋ,ɥ̥ĩʔĩù,ɟēɗíɗí,nɑ́rè,nɑ̀nd͡ʒēɾē,nə̀nə̀ íɾɑ̀,nɑ̀ɾɑ́,nɑ̌lɛ̀,nɑ́ɾə̀,nɑ́ɾɛ̀
205,shadow,kwə́ŋ,kwə̀ŋ,ń̩ɟɨ́ŋ,jílɨ̀ŋ,kúlwə́ŋ,cílɨ́ŋ,cɨ̀lɨ̌ŋ,ʃílɨ́ŋ,ʃílɨ̀ŋ,ʃílɨ̄ŋ
206,shake(object),jò,jəú,ʒē,wɑ́p,zɨ̄ɾ,lə́m,bìrí,d͡ʒɛ̀kɾì,lɨ́mə́,lə́mɑ́
207,shame,súkú,sɨ̀kù,nɨ́jəù,súkú,súkú,θɨ̀kù,sɨ́kəúlɨ́,ʃɨ̀kəùlé,kólóʃít,kɔ́leʃít
208,sharp,lə́,lə̀m,lìlē,lə́m,lə̀m(ɗɨ̃́m),lə̀m,ɥɑ́ː,ɥɑ́,ɲɛ̄t,ɲɛ̄t
209,sheabutter tree,t͡swə̃́,(kə̀)t͡swə̀,kə̀tɑ̀,ɨ́mɓɨ̀lɨ́m,swə́b,kə̀pkíl,gwɑ̀m,tóp,ɗwə́m,ɗóm
210,shield,ǹ̩kĩ̀,ǹ̩kĩ̀,ɟĩ̀,d͡ʒèn,d͡ʒēn,ɟēn,jùbɑ̀b,júbɑ̀b,kɔ̀tɔ̀ŋ,kɔ̀tɔ̂ŋ
211,shoe,hṹ,bɨ̀m,hũ̀,ɔ̃́,ɔ̃́,əũ̀,wɑ́ŋmú,wə̀ɣməì,wɔ̀ŋmì,wə̀ŋmɪ̄
212,shoot,tɑ́,tɑ̀,tɑ̀,tɑ̀,tɑ́,tɑ̀,tɑ̌,tɑ́,tɑ́,tɑ́
213,short,kũ̄kũ̄,tɨ̀ŋtɨ̀ŋ,ŋwìɲú,túl,tùltùl,jɑ̀ðə̀m,tûl,g͡bə́lɑ̀,kɨ́n,ke᷇n
214,sing,lē (bí),leì (ɓìm),d͡ʒwì(dwì),lɨ̀b (ɓín),lūb (ɓín),lù (ɓìn),twɑ̌ (zi),twɑ́ (d͡ʒì),twɑ́ (d͡ʒì),twɑ̌ (ɓə̂ŋ)
215,sit,kú (ɥ̥ɑ́),kù,wɑ́θə́,ɨ̀ (swɑ̀),ə̀ (ɨ̀nə́ ə̀),ə̀ (swɑ̀),wṳ̀kúlə̄,wù,wúlí (ʃwɑ̀),ú
216,six,ɥ̥ĩ̀t͡sɨ̂ŋ,ɥ̥ĩ̀t͡ʃùŋ,nēǹ̩cò,nə́ɾə̀nkwín,nə̀ɾɑ̀nkwín,nə̀nə̀ kún,nɑ́sɨ́n,nɑ̀ʃîn,níʃín,nɑ́ʃīn
217,skin,t͡swə̀,d͡zwə̀,jwə̀,swə́l,swə́l (kwə́ŋvē),swɑ́l (θə̀),lɨ̀kɑ́,lə́kɑ́,lə́kə́t,tɔ́l
218,sky,d͡zwê,ɗwìjé,ɲìləú,lò jí,lò jí,lò wɑ́jí,ílə́,jélī,jɨ́lɨ́,gɑ̀k
219,sleep,nɨ́ŋlwé,nɨ̀ŋlwəì,nɨ̀ŋləù,nùŋló,nùŋ ló,nùŋló,nūŋləù,nūŋləù,nūnləú,núŋləû
220,small,fɛ̃́nî,t͡swə̀nî,ɑ́ θɑ̀ŋ,ɑ̀ t͡ʃwə́b,(ɑ̀n) zə̀ŋ),ɑ́ twɑ̀p,kɨ́ɲə̂ŋ,tóp,tòp,tìjɔ̀b
221,smell,tɔ̀,(jí)jē,jē,jɛ̀l,kùm,jēlī,kūm,jɑ̀lɛ́,ʃínɑ́,jɛ̄lɛ̀
222,smoke,ɥī,ɥ̥ì (ɗwɑ̂),ðɨú,d͡ʒù,d͡ʒū,dù,dû,wú lwɑ̀,dùŋɔ̀,wṳ̄
223,snail,ɥ̥è,ɥ̥ē,ǹ̩fjɑ̀,swè,fê,swē,sɔ̀,ʃó,pî,pɪ̂
224,snake,t͡sō̤,d͡zəù,ɟəù,bjɔ́k,bjə̀ŋ,bjēk,bjə̀k,bjə̀k,bjə̀k,kémlém
225,soup,ɥɑ̀,ɥɑ̀,dù,wɑ́,wɑ̀,nùŋ ɓwɑ̀lì,nūŋvɨ́,núŋvə̀,nùŋʃē,nùŋʃé
226,sour,ŋə́,ə̀m,nɨ̀ŋəi,ə́m,ə́m,ə̀mí,ɲwī,nwí,nwí,nwí
227,speak,nə̀,nə̀,hòɲwɑ̀,d͡ʒē,bə̀ŋ gə̄,gəì,gəì,d͡ʒē,gē̤,gē̤
228,spear,bwí,kə́ɓwì,bwì,mwə̀mlò,mwə̄m,kə́ɓwì,kə́ɓé,mɔ́m,mwə̀m,mɔ̀m
229,spider,nɑ̌ndə̀ŋ,kɑ̂ndə̀ŋ,-,t͡ʃìɾɑ̀ndə́ŋ,gɾə̀ŋgɾə̀ŋ,díndə̀ŋ,dɨ̀ŋdə́ŋ,də́ŋdə̀ŋ,ʃênìmə̀m,lə̀ŋɑ̀
230,spit,t͡ʃìt͡ʃí,t͡ʃìt͡ʃì,twìtwì,t͡swìt͡swî,t͡ʃwìt͡ʃwî,tùtwî,sùswê,ʃwíʃwě,twî,twē
231,split,pɨ̃̀,pɨ̀m,cəúnɑ́,sə̀ŋ,(ɑ̀) sə̀ŋ,θə̀ŋ,g͡bɑ̌,ɓɑ̀n,ə̀ŋ (dɛ̀ɾɛ̀),ə̀ŋ
232,squeeze,kə̃́,kə̀m,kɨ̃̀,kə̀m,kə́m,kə̀m,kə̌m,kə́m,kə́m,kə́m
233,stab,pə̀,bəù,bə̀,bɛ̄,bjɛ̄,bəì,bə̀,bə̀,bɛ̄t,bɛ̀t
234,stand,t͡sɨ̀,d͡ʒì,cəú(θə́),dɛ̄,dɛ̄,dē,də̤ì,də̤ì,dè̤̄,dè̤̄
235,star,ǹ̩d͡zɨ̀ŋ,d͡zɨ̂ŋ,ǹ̩ɟɨ́ŋ,bɨ̀n,bjɨ̂n,vìn,bēn,bēn,ɓə́sə̀l,ɓə́ʃə̂l
236,stick,bwə̀kə́,ɥ̥ə̀kə̀,cwəì,súkwə̀b,súkwə̀b,ðə̀mkə̀p,tûl,ɲə́lə̀ŋ,d͡ʒɑ̀b,d͡ʒɑ̀b
237,stomach,ɥɑ́,ɥɑ̀,ɥɑ̀,wɑ́,wɑ́,wɑ́,fû,fū,fū,fū
238,stone,té,teì,təì,tə̀l,tɑ̀l,tɑ̀l,tɑ̃́l,tɑ́l,tɑ́l,tɑ́l
239,straight,t͡ʃĩ̀,t͡sə ì(ɥ̥ɑ̀),θɑ̃̀,dɑ̀ːsí,zə́l,d͡ʒwɑ̀n,ɲwēn,gùb (ī),k͡pɑ̀r,ʃwə̀lɑ̀(ʃē)
240,suck,ṹ,ũ̀,ŋəù,ɔ̀ŋ,ɔ̀ŋ,ɔ̀ŋ,ə̃ú,ʃú,ɑú,ʃùmì
241,sun,fǐ,fî,fē,fǔ,fū,fū,fâɾ,fɑ́lɛ̀,ɓəì,ɓɛ̄
242,swallow,mī,mī,mī,mī,mí,mì,mī,mī,mī,mī
243,sweet,kúlə̀lə̀,lə̀plə̀p,mɨ̀mə̀n,lə̀blə̀b,lə̀blə̀b,lɑ̀ɗìn,tɛ̄lə̀,təí,tē,mɑ́
244,sweet potatoes,kə́lə̀kó,kɨ̀tɑ́kəù,kə̀ɾkò,kə́tə̀kò,kɨ́tɑ̀kəú,kɨ́tɑ́gəù,kɨ̀tɑ́gō,kɨ́tə̀ngū,cítɑ̀kɨú,ʃɨ́tə̀ŋcəû
245,swell,hɛ́,həì,jē,hɑ́ɾ,fə́m,hɑ́ɾ,fə̀m,lɔ̀k,fúm,fú(ɾì)
246,swim,jí (mɨ́ŋ),ìmɨ̀ŋ,gɑ̀mɨ̀ŋ,ɛ̀ (mū),lɑ́ (mūŋ),ɑì mùŋ,aí(mwī),g͡bə̀bə̀məī,g͡bə́bɑ̀mɛ̄,g͡bə́bɛ̄mɛ̄
247,tail,kə́ɲì,kə̀ɥ̥ɨ̂ŋ,kə̀ðɨ̀ŋ,zɨ̀ːŋ,zə́ŋ,ðɨ́ŋ,ɥēn,ɥén,wēn,wɪ᷇n
248,take,dɨ̀,ɗɨ̀̀,jɨ̀,lē,lē,ləì,pɨ́,pí,pí,pí
249,tears,gə̃̀mí,nɨ̀ŋmɨ̀ŋ,ǹ̩gùmì,kə́mbɨ̀ɾ,gɨ̀mɓɨ́ɾ,mùŋnúŋ,númwî,məínūŋ,mɛ̄núŋ,mɛ̄nûŋ
250,ten,ɥ̥ə́,ɥ̥ə̀,nə̀θē,swə̀b,swə̄b,sɔ̀p,swəb,ʃúwób,ʃôb,ʃɔ́b
251,they,lè,lè,ń̩,í,î,ì,ní,ni᷇,jē,nɛ́
252,thick,jɔ̀,múmwə̀,mùmwə̀,mɛ̄,(ɑ̀) mjɛ̄,mwùɗíŋ,(kə) mwúɾə̀,ɓínɑ̀,mút,ɲím
253,thin,k͡pə́nə́ŋnə́ŋ,kɨ́nə̀ŋkɨ́nə̀ŋ,ðɨ̀ŋú,ɲə́p,əùɾē,ɑ̀ cɑ́bì,(kə) júɾə̀,ljéŋljéŋ,wùɾɛ̀,wíŋkíwíŋkí
254,thing,nɨ̄ŋ,nɨ́ŋ ɓɨ̀,nɨ̀ŋ,nūŋ,nɨ̄ŋ,nùŋ,nūŋ,nūŋ,nūŋ,nūŋ
255,think,cɛ̃́,cèm(bí),bə̀ŋ,zí,(ɑ̀) zí,ŋə̀m(bɑ̀),ŋə̀m,ə́m,ɲə́m,ɲém
256,three,tə́,nə́tə̀,nə̀tə̀,tɛ̄,tɛ̄,təì,tə́t,tāːɾ,búnú,búnúŋ
257,throw,wɑ́,wɑ̀,tɑ̀,wɑ̀,wɑ́,wɑ̌,wɑ̀,wā,wɑ́,bjɨ̄ŋ
258,thunder,gã̀fɨ̀,gɑ́mvəù,gə̀ŋvwē,kwə́ŋvɨ̀ɾ,gɑ̀ŋfɨ́ɾ,gɑ̀mvɨ̂ɾ,gɑ̀mvɨ̀r,nɑ́nì,gɑ̀mvùɾùm,ɡɑ̀mvùɾùm
259,tie,t͡sə́,t͡sə̀,cɑ̀,t͡ʃə̀b,t͡ʃə́b,θə̀p,sə́b,ʃə́b,lép,tép
260,today,d͡ʒɛ̀nɨ́,lɨ̀jɛ̀,ìθɑ̃̀nɑ̀,ƙījɑ̀,ƙìkɑ̀,ɗìgɑ̀,ɗə̀sî,ɑ́ʃì,ɗî,ɗî
261,tomorrow,bə̀ŋ(pɨ̀cĩ́),bɨ̀ŋ,(nə́m)bə́ŋ,(ìm)būŋ,bûŋ,būŋ,vəì,vəì,vē,vē̤
262,tongue,lə́,lɨ́jɛ̄m,lə́ŋ,ƙīm,ƙík,ljén,lěn,ɗə́k,ɗə́k,ɗə́k
263,tooth,d͡ʒī,ɗí,jɨ̀ɟɨ̀,lɛ̄,lɛ̄,ləí,ləì,ləī,ləí,le᷇
264,tortoise,kwə́ŋ,kwə̀ŋ,hũ̀,kwóŋ,kwə́ŋ,kɔ́ŋ,kɔ́ŋ,kɔ́ŋ,kɔ́ŋ,kɔ᷇ŋ
265,tree,kə́,kə̀,kə̀nɨ̀ŋ,kə̀b,kə̀b,kə̀p,kə́b,kə́p,kə́p (ɗít̀̚),ɗít
266,truth,bɛ̄nɨ̀ŋ,bì ɑ̀gɑ̀ŋ,bɑ́lə̀ŋ,bɛ̄nùŋ,blə̀ŋ,bɑ́lə̀ŋì,gɔ̀ŋgə́,kə́ nūŋ,kɾénùŋ,kénùŋ
267,turn,mjɛ̄,mjɛ̂m,jɨ́ŋ (ŋəù),mɨ̀ɾɑ̀m,mɨ̀rɑ́m,mɨ̀ɾə̀m,bjɨ̀nâ,pí nā,kō,wúnɛ̀
268,twenty,ŋwút͡sɨ̀ŋ,hwùnt͡ʃɨ̀ŋ,ɟɛ̃̀ǹ̩cò,zɨ̀mkwɨ̀n,zɨ̀mkwín,ðìmkún,fɑ́cwím,fɑ̀ʃwín,ʃúrɑ̀b,fákwîn
269,twist (v),bɨ́ŋ,kwɑ̀m,lə̀ŋ,kɨ̀ɾɛ̄,kùlɑ̀m,kùlwàm,bɨ́lə́m,ɗɑ́p,pɨ́ɾɑ́m,ɓélém
270,two,jǔŋ,nə́ʔiù,nə̀jɑ̀,rɑ̀b,rɑ̀b,ɾɑ̀b,ɾāb,lɑ̀ːp,ɾɑ̀b,ɾɑ̀b
271,under,bwɑ̀,ɓwɑ̀w,bò,pí,pìw,pīswɑ̄,ɓwâ,bī,bí,bì
272,vomit,d͡ʒə́,nɨ́ŋɗjèmnɨ́ŋ,bjē,ɓíjém,ɓém,ɓēmē,ɓjə́m (nūŋ),ɓə́m,ɓóm,ɓo᷇m
273,walk,hō,hò,ðòbò,zō,zɔ̀,ðəù,wō̤,wé (lè),wēlé,wē(lé)
274,warm,lwùlwù,lùlùb,lɔ̀jòŋ,swēn,ɓɨ̀lə̀b ɓɨ̀lə̀b,ɗùmɗùm,ɗúmɗúm,ɓúm,ɓúɾùm,ɓùɾùmɓùɾùm
275,wash,lǒ,lô,vɑ̀,ɗjòk,ʔijɔ̀k,ɗìɣɑ̀,zwɑ́b,d͡ʒōb,d͡ʒɔ̀b,d͡ʒòb
276,water,mɨ́ŋ,mɨ̀ŋ,mìcɑ̀,mūŋ,mūŋkwɑ̀m,mùnkì,mɨ́t͡ʃə́,mìʃíjè,mɛ̄,mɛ̄
277,waterpot,d͡zɔ̃̀,d͡zə̃ù(mɨ̂ŋ),θē,d͡ʒìmɔ̀,bɔ̀,bəùmùŋ,zɑ̀,d͡ʒɑ̀ː,tə́m,te᷇m
278,we,bɨ̀,ɓɨ̀,ɓì,ɓī,ɓí,bì,ɓí,ɓì,ɓí,ɓó
279,well,bwɑ̀mɨ́ŋ,ɓwɑ́mɨ̀ŋ,wɑ́bù,ɓwɑ̀mūŋ,ɓwɑ̀mūŋ,ɓwɑ̄mū,ɓwɑ̀mwìn,ɓwɑ́məì,túŋɾūŋmɛ̄,ɓwɑ̀mɛ́
280,wet,ɲə́,tɑ̃̀,jə̀ɓjɑ̀,ɓwē,(ɑ̀) ɓwɛ̂,lɑ̀ɓwē,ɓɨ́ɾə̀,jǐ,tɨ̀mɑ́,tə́mɑ́
281,what?,bə́dé,ɓə̀,ɓɑ̀,ɓējɑ́,mə́,ɓə́,ɓə́,ɓə́,ɓɑ̌,ɓɛ̄
282,when?,dónɨ́,dəù,θɨ̀ŋwì,ɓɨ́lɨ́jɑ́,nɨ̀ŋŋɔ̀,nɨ̀ ɓə̂,d͡ʒəú,d͡ʒəú,d͡ʒəū,d͡ʒəù
283,where?,bêdé,pē,ŋ̩̀̀gɑ́,pɑ̌,pɑ̀,pɨ̀lɑ̂,laɛ́,lá,lējɑ̀,lə́
284,white,fɨ̄,kɔ ɑ́ və̀w,jə́vù,vɨ̀rɨ̄m,(ɑ̀m) vɨ̀ɾɨ̀m,vɨ̀ɾɨ̀m,vɨ̄ɾɨ̀m,vùlùm,vɨ́rùm,vùɾūm
285,who?,wə̀dé,wə̀,ɗɑ̀jɑ̀,jɑ́,jâ,jìtɨ̀n,wəì,wó,wəí,wəi᷅
286,wide,pjə̀ŋ,pjə́ŋ (lə̀),pjə́ŋ,ɛ̄,ɛ̄,ɑì ɗɨ́n,aílɨ́,əī,bìɾɛ̀,mùɾí
287,wife,hē,hē,ʃì,ìsí,sí,ʃɨ́m,lɨ́sɨ́jē,ʃē,líʃəí,líʃɛ̂
288,wind,ɥɑ́,ɥɑ̤̀,ɲɑ̀cɑ̀,wɑ́,wɑ́,wɑ̀,ɥâ,ɥɑ́,wúbɛ̄,wə̀bɛ́
289,wing,ŋwɑ́kə́nt͡ʃɛ̃̄,ŋwɑ̀kə́t͡sɛ̃̂w,m̩̀̀bə̀lkɑ̀bì,wɑ̀ŋcēn,cèn,ŋwɑ̀kə̂n,ləùbjɛ̄l,ʃɛ́nɛ̄,ʃínɪ̀,ʃínì
290,wipe,nū,fì,fɑ̀,fɑ́,fɑ́,fɑ́,fɛ̀ɾɑ̀,pìlá,pìɾɛ́,pɛ̄rɛ̄
291,witchcraft,bwē,ɓweì,bwìtə̀ŋ,bwí ēsā,jêɓwí,jɑ́ bwí,lē (ɓjē),ɓē,ɓwí,ɓwi᷇
292,woman,íjè,jɨ̀heì,nìʃì,ìsí,jɨ̀sí,jìsí,lɨ́sɨ́jē,líʃē,lwɑ̂líʃəì,líʃɛ̂
293,word/speech,bì,bì,ɲɑ̀hō,bɑ̀,bɑ̀,bɑ̄,sɔ́kɑ́,ʃɔ̀,ʃɔ̄ː,ʃɔ
294,work,ŋwɑ́tṹ,ŋwɑ́t͡sùm,nɨ̀ŋnɑ̀,núŋtó,nɨ̀ŋt͡ʃò,nūŋtō,nūn ǹ̩tò,túmí,tǔmí,túmí
295,write,vĩ̀,vĩ̀,bəì,mɑ̀p,sɑ́ɾ,vɨ́(lɑ̀),vɨ̀ (nə́lì),vɑ́(lɑ̀),ʃə́t,ʃét
296,year,hɑ́,hɑ̀,θɑ̀,sɑ́,sā,θɑ̀,sə́l,ʃɑ́l,ʔɛ̄lɛ̄,ɛ᷆
297,yell,kí ŋwɑ́kwə̀ŋ,lwílwì,ɲèkwé,bɔ̄kbē,bɔ̀kbē,bɔ̀kŋwɑ̀,bɔ̀kvəí,g͡bə́b ɲwɑ̀,g͡bə́mə́vē,ɓɑ́ɾɑ́
298,yesterday,dò,ɗjəù,nɨ́ŋɟɨ̃́,ƙí,ɗî,lɑ̀lì,lē,líjè,lɛ̄,lɛ᷇
299,you (sg),mə̀,mə̀,mə̀,mə̀,mɑ̀,mɑ̀,mwə̄,mɔ̀,mò,mɔ̀
300,you (pl),bə̀,ɓə,ɓɑ́,ɓɑ̀,ɓɑ̀,ɓə̀,ɓí,jɑ̀,jē,jɑ̀
